geneId,geneName,locus,strand,chromosome
gene-LOC102393852,LOC102393852,NC_059169.1,-,13,
gene-LOC102393855,LOC102393855,NC_059159.1,-,3,
gene-LOC102393861,LOC102393861,NC_059158.1,+,2,
gene-LOC102393870,LOC102393870,NC_059158.1,-,2,
gene-LOC102393882,LOC102393882,NC_059170.1,+,14,
gene-LOC102393884,LOC102393884,NC_059181.1,-,X,
gene-LOC102393885,LOC102393885,NC_059162.1,-,6,
gene-LOC102393892,LOC102393892,NC_059181.1,+,X,
gene-LOC102393893,LOC102393893,NC_059172.1,+,16,
gene-LOC102393894,LOC102393894,NC_059174.1,-,18,
gene-LOC102393895,LOC102393895,NC_059157.1,+,1,
gene-LOC102393898,LOC102393898,NC_059157.1,-,1,
gene-LOC102393900,LOC102393900,NC_059165.1,+,9,
gene-LOC102393902,LOC102393902,NC_059178.1,+,22,
gene-LOC102393907,LOC102393907,NC_059161.1,-,5,
gene-LOC102393916,LOC102393916,NC_059159.1,+,3,
gene-LOC102393917,LOC102393917,NC_059172.1,-,16,
gene-LOC102393918,LOC102393918,NC_059168.1,-,12,
gene-LOC102393921,LOC102393921,NC_059168.1,+,12,
gene-LOC102393922,LOC102393922,NC_059167.1,+,11,
gene-LOC102393946,LOC102393946,NC_059171.1,+,15,
gene-LOC102393953,LOC102393953,NC_059172.1,+,16,
gene-LOC102393956,LOC102393956,NC_059159.1,-,3,
gene-LOC102393960,LOC102393960,NC_059167.1,+,11,
gene-LOC102393963,LOC102393963,NC_059173.1,+,17,
gene-LOC102393973,LOC102393973,NC_059181.1,-,X,
gene-LOC102393978,LOC102393978,NC_059161.1,-,5,
gene-LOC102393982,LOC102393982,NC_059160.1,+,4,
gene-LOC102393984,LOC102393984,NC_059160.1,+,4,
gene-LOC102393989,LOC102393989,NC_059164.1,-,8,
gene-LOC102393992,LOC102393992,NC_059165.1,-,9,
gene-LOC102393996,LOC102393996,NC_059157.1,-,1,
gene-LOC102394004,LOC102394004,NC_059172.1,-,16,
gene-LOC102394005,LOC102394005,NC_059162.1,+,6,
gene-LOC102394006,LOC102394006,NC_059158.1,-,2,
gene-LOC102394008,LOC102394008,NC_059167.1,-,11,
gene-LOC102394013,LOC102394013,NC_059163.1,+,7,
gene-LOC102394014,LOC102394014,NC_059163.1,+,7,
gene-LOC102394022,LOC102394022,NC_059161.1,+,5,
gene-LOC102394028,LOC102394028,NC_059159.1,-,3,
gene-LOC102394029,LOC102394029,NC_059160.1,+,4,
gene-LOC102394043,LOC102394043,NC_059172.1,+,16,
gene-LOC102394044,LOC102394044,NC_059158.1,-,2,
gene-LOC102394049,LOC102394049,NC_059159.1,-,3,
gene-LOC102394055,LOC102394055,NC_059167.1,-,11,
gene-LOC102394057,LOC102394057,NC_059171.1,-,15,
gene-LOC102394060,LOC102394060,NC_059172.1,-,16,
gene-LOC102394061,LOC102394061,NC_059164.1,-,8,
gene-LOC102394063,LOC102394063,NC_059161.1,+,5,
gene-LOC102394067,LOC102394067,NC_059159.1,+,3,
gene-LOC102394078,LOC102394078,NC_059166.1,+,10,
gene-LOC102394082,LOC102394082,NC_059172.1,+,16,
gene-LOC102394086,LOC102394086,NC_059158.1,-,2,
gene-LOC102394090,LOC102394090,NC_059161.1,-,5,
gene-LOC102394104,LOC102394104,NC_059158.1,+,2,
gene-LOC102394105,LOC102394105,NC_059157.1,+,1,
gene-LOC102394106,LOC102394106,NC_059181.1,+,X,
gene-LOC102394107,LOC102394107,NC_059158.1,+,2,
gene-LOC102394109,LOC102394109,NC_059181.1,+,X,
gene-LOC102394114,LOC102394114,NC_059165.1,+,9,
gene-LOC102394115,LOC102394115,NC_059168.1,+,12,
gene-LOC102394121,LOC102394121,NC_059167.1,-,11,
gene-LOC102394123,LOC102394123,NC_059172.1,-,16,
gene-LOC102394127,LOC102394127,NC_059160.1,-,4,
gene-LOC102394130,LOC102394130,NC_059181.1,+,X,
gene-LOC102394133,LOC102394133,NC_059170.1,-,14,
gene-LOC102394139,LOC102394139,NC_059158.1,-,2,
gene-LOC102394141,LOC102394141,NC_059166.1,-,10,
gene-LOC102394142,LOC102394142,NC_059165.1,-,9,
gene-LOC102394148,LOC102394148,NC_059157.1,+,1,
gene-LOC102394151,LOC102394151,NC_059162.1,-,6,
gene-LOC102394152,LOC102394152,NC_059172.1,-,16,
gene-LOC102394156,LOC102394156,NC_059159.1,+,3,
gene-LOC102394157,LOC102394157,NC_059173.1,+,17,
gene-LOC102394170,LOC102394170,NC_059157.1,+,1,
gene-LOC102394182,LOC102394182,NC_059157.1,-,1,
gene-LOC102394190,LOC102394190,NC_059168.1,+,12,
gene-LOC102394196,LOC102394196,NC_059174.1,-,18,
gene-LOC102394199,LOC102394199,NC_059158.1,+,2,
gene-LOC102394202,LOC102394202,NC_059180.1,+,24,
gene-LOC102394205,LOC102394205,NC_059176.1,-,20,
gene-LOC102394206,LOC102394206,NC_059157.1,+,1,
gene-LOC102394211,LOC102394211,NC_059161.1,-,5,
gene-LOC102394223,LOC102394223,NC_059181.1,+,X,
gene-LOC102394225,LOC102394225,NC_059157.1,+,1,
gene-LOC102394228,LOC102394228,NC_059157.1,-,1,
gene-LOC102394230,LOC102394230,NC_059160.1,+,4,
gene-LOC102394231,LOC102394231,NC_059165.1,+,9,
gene-LOC102394237,LOC102394237,NC_059163.1,+,7,
gene-LOC102394240,LOC102394240,NC_059161.1,-,5,
gene-LOC102394247,LOC102394247,NC_059180.1,+,24,
gene-LOC102394249,LOC102394249,NC_059172.1,+,16,
gene-LOC102394250,LOC102394250,NC_059168.1,-,12,
gene-LOC102394251,LOC102394251,NC_059173.1,+,17,
gene-LOC102394252,LOC102394252,NC_059168.1,+,12,
gene-LOC102394254,LOC102394254,NC_059158.1,-,2,
gene-LOC102394255,LOC102394255,NC_059170.1,+,14,
gene-LOC102394258,LOC102394258,NC_059160.1,-,4,
gene-LOC102394266,LOC102394266,NC_059159.1,-,3,
gene-LOC102394274,LOC102394274,NC_059172.1,+,16,
gene-LOC102394276,LOC102394276,NC_059181.1,+,X,
gene-LOC102394284,LOC102394284,NC_059159.1,-,3,
gene-LOC102394285,LOC102394285,NC_059172.1,+,16,
gene-LOC102394286,LOC102394286,NC_059159.1,-,3,
gene-LOC102394287,LOC102394287,NC_059165.1,-,9,
gene-LOC102394295,LOC102394295,NC_059158.1,+,2,
gene-LOC102394298,LOC102394298,NC_059172.1,-,16,
gene-LOC102394302,LOC102394302,NC_059181.1,-,X,
gene-LOC102394308,LOC102394308,NC_059165.1,+,9,
gene-LOC102394309,LOC102394309,NC_059161.1,-,5,
gene-LOC102394312,LOC102394312,NC_059167.1,-,11,
gene-LOC102394313,LOC102394313,NC_059172.1,-,16,
gene-LOC102394325,LOC102394325,NC_059165.1,-,9,
gene-LOC102394326,LOC102394326,NC_059157.1,-,1,
gene-LOC102394330,LOC102394330,NC_059172.1,-,16,
gene-LOC102394332,LOC102394332,NC_059158.1,-,2,
gene-LOC102394334,LOC102394334,NC_059181.1,-,X,
gene-LOC102394335,LOC102394335,NC_059167.1,+,11,
gene-LOC102394339,LOC102394339,NC_059173.1,+,17,
gene-LOC102394341,LOC102394341,NC_059173.1,-,17,
gene-LOC102394342,LOC102394342,NC_059163.1,+,7,
gene-LOC102394345,LOC102394345,NC_059167.1,-,11,
gene-LOC102394347,LOC102394347,NC_059161.1,+,5,
gene-LOC102394350,LOC102394350,NC_059176.1,+,20,
gene-LOC102394354,LOC102394354,NC_059174.1,+,18,
gene-LOC102394362,LOC102394362,NC_059174.1,+,18,
gene-LOC102394375,LOC102394375,NC_059167.1,-,11,
gene-LOC102394378,LOC102394378,NC_059160.1,+,4,
gene-LOC102394379,LOC102394379,NC_059174.1,+,18,
gene-LOC102394381,LOC102394381,NC_059172.1,-,16,
gene-LOC102394385,LOC102394385,NC_059159.1,+,3,
gene-LOC102394386,LOC102394386,NC_059161.1,-,5,
gene-LOC102394388,LOC102394388,NC_059172.1,-,16,
gene-LOC102394398,LOC102394398,NC_059174.1,+,18,
gene-LOC102394405,LOC102394405,NC_059180.1,-,24,
gene-LOC102394406,LOC102394406,NC_059181.1,-,X,
gene-LOC102394407,LOC102394407,NC_059174.1,+,18,
gene-LOC102394414,LOC102394414,NC_059168.1,+,12,
gene-LOC102394420,LOC102394420,NC_059164.1,+,8,
gene-LOC102394422,LOC102394422,NC_059157.1,+,1,
gene-LOC102394424,LOC102394424,NC_059167.1,+,11,
gene-LOC102394425,LOC102394425,NC_059158.1,-,2,
gene-LOC102394430,LOC102394430,NC_059170.1,-,14,
gene-LOC102394431,LOC102394431,NC_059174.1,-,18,
gene-LOC102394434,LOC102394434,NC_059168.1,+,12,
gene-LOC102394441,LOC102394441,NC_059162.1,+,6,
gene-LOC102394443,LOC102394443,NC_059166.1,+,10,
gene-LOC102394445,LOC102394445,NC_059172.1,-,16,
gene-LOC102394446,LOC102394446,NC_059160.1,+,4,
gene-LOC102394449,LOC102394449,NC_059180.1,-,24,
gene-LOC102394451,LOC102394451,NC_059160.1,-,4,
gene-LOC102394460,LOC102394460,NC_059157.1,-,1,
gene-LOC102394464,LOC102394464,NC_059166.1,-,10,
gene-LOC102394472,LOC102394472,NC_059158.1,-,2,
gene-LOC102394473,LOC102394473,NC_059172.1,-,16,
gene-LOC102394474,LOC102394474,NC_059172.1,-,16,
gene-LOC102394475,LOC102394475,NC_059181.1,+,X,
gene-LOC102394483,LOC102394483,NC_059164.1,+,8,
gene-LOC102394484,LOC102394484,NC_059162.1,+,6,
gene-LOC102394486,LOC102394486,NC_059168.1,-,12,
gene-LOC102394490,LOC102394490,NC_059174.1,+,18,
gene-LOC102394491,LOC102394491,NC_059177.1,-,21,
gene-LOC102394501,LOC102394501,NC_059162.1,+,6,
gene-LOC102394503,LOC102394503,NC_059159.1,-,3,
gene-LOC102394506,LOC102394506,NC_059158.1,+,2,
gene-LOC102394507,LOC102394507,NC_059158.1,+,2,
gene-LOC102394510,LOC102394510,NC_059161.1,+,5,
gene-LOC102394511,LOC102394511,NC_059180.1,-,24,
gene-LOC102394519,LOC102394519,NC_059170.1,+,14,
gene-LOC102394526,LOC102394526,NC_059181.1,+,X,
gene-LOC102394527,LOC102394527,NC_059157.1,+,1,
gene-LOC102394528,LOC102394528,NC_059157.1,-,1,
gene-LOC102394530,LOC102394530,NC_059165.1,+,9,
gene-LOC102394547,LOC102394547,NC_059168.1,+,12,
gene-LOC102394555,LOC102394555,NC_059163.1,-,7,
gene-LOC102394569,LOC102394569,NC_059172.1,+,16,
gene-LOC102394572,LOC102394572,NC_059162.1,+,6,
gene-LOC102394579,LOC102394579,NC_059174.1,+,18,
gene-LOC102394580,LOC102394580,NC_059170.1,-,14,
gene-LOC102394582,LOC102394582,NC_059174.1,-,18,
gene-LOC102394584,LOC102394584,NC_059162.1,-,6,
gene-LOC102394586,LOC102394586,NC_059170.1,-,14,
gene-LOC102394589,LOC102394589,NC_059167.1,-,11,
gene-LOC102394590,LOC102394590,NC_059165.1,-,9,
gene-LOC102394596,LOC102394596,NC_059158.1,+,2,
gene-LOC102394597,LOC102394597,NC_059172.1,+,16,
gene-LOC102394605,LOC102394605,NC_059174.1,-,18,
gene-LOC102394606,LOC102394606,NC_059174.1,+,18,
gene-LOC102394613,LOC102394613,NC_059172.1,-,16,
gene-LOC102394624,LOC102394624,NC_059170.1,-,14,
gene-LOC102394627,LOC102394627,NC_059165.1,-,9,
gene-LOC102394629,LOC102394629,NC_059157.1,+,1,
gene-LOC102394631,LOC102394631,NC_059158.1,+,2,
gene-LOC102394636,LOC102394636,NC_059162.1,-,6,
gene-LOC102394637,LOC102394637,NC_059172.1,-,16,
gene-LOC102394641,LOC102394641,NC_059162.1,+,6,
gene-LOC102394643,LOC102394643,NC_059158.1,+,2,
gene-LOC102394654,LOC102394654,NC_059169.1,-,13,
gene-LOC102394666,LOC102394666,NC_059177.1,-,21,
gene-LOC102394668,LOC102394668,NC_059168.1,-,12,
gene-LOC102394669,LOC102394669,NC_059165.1,-,9,
gene-LOC102394673,LOC102394673,NC_059167.1,-,11,
gene-LOC102394676,LOC102394676,NC_059167.1,+,11,
gene-LOC102394680,LOC102394680,NC_059157.1,+,1,
gene-LOC102394689,LOC102394689,NC_059167.1,+,11,
gene-LOC102394692,LOC102394692,NC_059159.1,-,3,
gene-LOC102394696,LOC102394696,NC_059157.1,-,1,
gene-LOC102394697,LOC102394697,NC_059172.1,-,16,
gene-LOC102394698,LOC102394698,NC_059160.1,+,4,
gene-LOC102394703,LOC102394703,NC_059159.1,+,3,
gene-LOC102394710,LOC102394710,NC_059170.1,+,14,
gene-LOC102394712,LOC102394712,NC_059160.1,+,4,
gene-LOC102394719,LOC102394719,NC_059165.1,-,9,
gene-LOC102394720,LOC102394720,NC_059172.1,-,16,
gene-LOC102394721,LOC102394721,NC_059180.1,-,24,
gene-LOC102394723,LOC102394723,NC_059162.1,+,6,
gene-LOC102394726,LOC102394726,NC_059158.1,+,2,
gene-LOC102394728,LOC102394728,NC_059158.1,-,2,
gene-LOC102394731,LOC102394731,NC_059174.1,-,18,
gene-LOC102394732,LOC102394732,NC_059164.1,-,8,
gene-LOC102394733,LOC102394733,NC_059158.1,+,2,
gene-LOC102394734,LOC102394734,NC_059162.1,+,6,
gene-LOC102394739,LOC102394739,NC_059158.1,-,2,
gene-LOC102394741,LOC102394741,NC_059164.1,-,8,
gene-LOC102394743,LOC102394743,NC_059157.1,-,1,
gene-LOC102394747,LOC102394747,NC_059158.1,+,2,
gene-LOC102394752,LOC102394752,NC_059167.1,-,11,
gene-LOC102394754,LOC102394754,NC_059165.1,+,9,
gene-LOC102394760,LOC102394760,NC_059175.1,+,19,
gene-LOC102394761,LOC102394761,NC_059172.1,+,16,
gene-LOC102394763,LOC102394763,NC_059157.1,-,1,
gene-LOC102394770,LOC102394770,NC_059180.1,-,24,
gene-LOC102394771,LOC102394771,NC_059162.1,-,6,
gene-LOC102394775,LOC102394775,NC_059158.1,+,2,
gene-LOC102394779,LOC102394779,NC_059159.1,-,3,
gene-LOC102394783,LOC102394783,NC_059160.1,+,4,
gene-LOC102394784,LOC102394784,NC_059173.1,-,17,
gene-LOC102394787,LOC102394787,NC_059178.1,+,22,
gene-LOC102394791,LOC102394791,NC_059166.1,-,10,
gene-LOC102394793,LOC102394793,NC_059158.1,+,2,
gene-LOC102394797,LOC102394797,NC_059172.1,-,16,
gene-LOC102394806,LOC102394806,NC_059159.1,-,3,
gene-LOC102394808,LOC102394808,NC_059178.1,-,22,
gene-LOC102394825,LOC102394825,NC_059181.1,-,X,
gene-LOC102394826,LOC102394826,NC_059160.1,+,4,
gene-LOC102394827,LOC102394827,NC_059157.1,-,1,
gene-LOC102394832,LOC102394832,NC_059174.1,+,18,
gene-LOC102394835,LOC102394835,NC_059158.1,+,2,
gene-LOC102394836,LOC102394836,NC_059174.1,+,18,
gene-LOC102394837,LOC102394837,NC_059164.1,+,8,
gene-LOC102394838,LOC102394838,NC_059161.1,+,5,
gene-LOC102394843,LOC102394843,NC_059164.1,-,8,
gene-LOC102394847,LOC102394847,NC_059161.1,-,5,
gene-LOC102394850,LOC102394850,NC_059172.1,+,16,
gene-LOC102394860,LOC102394860,NC_059175.1,+,19,
gene-LOC102394863,LOC102394863,NC_059165.1,+,9,
gene-LOC102394867,LOC102394867,NC_059161.1,-,5,
gene-LOC102394871,LOC102394871,NC_059157.1,+,1,
gene-LOC102394873,LOC102394873,NC_059174.1,+,18,
gene-LOC102394877,LOC102394877,NC_059168.1,+,12,
gene-LOC102394884,LOC102394884,NC_059158.1,-,2,
gene-LOC102394885,LOC102394885,NC_059158.1,+,2,
gene-LOC102394888,LOC102394888,NC_059177.1,+,21,
gene-LOC102394892,LOC102394892,NC_059157.1,-,1,
gene-LOC102394899,LOC102394899,NC_059172.1,+,16,
gene-LOC102394907,LOC102394907,NC_059170.1,+,14,
gene-LOC102394908,LOC102394908,NC_059172.1,-,16,
gene-LOC102394916,LOC102394916,NC_059167.1,+,11,
gene-LOC102394926,LOC102394926,NC_059172.1,+,16,
gene-LOC102394927,LOC102394927,NC_059178.1,-,22,
gene-LOC102394933,LOC102394933,NC_059159.1,+,3,
gene-LOC102394939,LOC102394939,NC_059172.1,-,16,
gene-LOC102394940,LOC102394940,NC_059172.1,+,16,
gene-LOC102394941,LOC102394941,NC_059174.1,-,18,
gene-LOC102394942,LOC102394942,NC_059162.1,+,6,
gene-LOC102394952,LOC102394952,NC_059159.1,+,3,
gene-LOC102394955,LOC102394955,NC_059157.1,+,1,
gene-LOC102394961,LOC102394961,NC_059172.1,-,16,
gene-LOC102394967,LOC102394967,NC_059178.1,-,22,
gene-LOC102394968,LOC102394968,NC_059158.1,-,2,
gene-LOC102394973,LOC102394973,NC_059173.1,+,17,
gene-LOC102394978,LOC102394978,NC_059167.1,+,11,
gene-LOC102394987,LOC102394987,NC_059162.1,-,6,
gene-LOC102394989,LOC102394989,NC_059170.1,-,14,
gene-LOC102394992,LOC102394992,NC_059172.1,-,16,
gene-LOC102394994,LOC102394994,NC_059168.1,+,12,
gene-LOC102394997,LOC102394997,NC_059159.1,+,3,
gene-LOC102394998,LOC102394998,NC_059163.1,+,7,
gene-LOC102394999,LOC102394999,NC_059157.1,-,1,
gene-LOC102395001,LOC102395001,NC_059160.1,+,4,
gene-LOC102395002,LOC102395002,NC_059165.1,-,9,
gene-LOC102395004,LOC102395004,NC_059168.1,+,12,
gene-LOC102395009,LOC102395009,NC_059173.1,-,17,
gene-LOC102395010,LOC102395010,NC_059173.1,+,17,
gene-LOC102395016,LOC102395016,NC_059159.1,-,3,
gene-LOC102395024,LOC102395024,NC_059162.1,-,6,
gene-LOC102395027,LOC102395027,NC_059174.1,+,18,
gene-LOC102395033,LOC102395033,NC_059159.1,+,3,
gene-LOC102395036,LOC102395036,NC_059168.1,+,12,
gene-LOC102395048,LOC102395048,NC_059172.1,-,16,
gene-LOC102395049,LOC102395049,NC_059180.1,-,24,
gene-LOC102395050,LOC102395050,NC_059162.1,-,6,
gene-LOC102395053,LOC102395053,NC_059158.1,-,2,
gene-LOC102395054,LOC102395054,NC_059158.1,-,2,
gene-LOC102395057,LOC102395057,NC_059174.1,+,18,
gene-LOC102395058,LOC102395058,NC_059164.1,-,8,
gene-LOC102395060,LOC102395060,NC_059176.1,+,20,
gene-LOC102395063,LOC102395063,NC_059171.1,+,15,
gene-LOC102395066,LOC102395066,NC_059164.1,-,8,
gene-LOC102395067,LOC102395067,NC_059158.1,+,2,
gene-LOC102395072,LOC102395072,NC_059181.1,-,X,
gene-LOC102395074,LOC102395074,NC_059169.1,+,13,
gene-LOC102395076,LOC102395076,NC_059165.1,+,9,
gene-LOC102395077,LOC102395077,NC_059180.1,+,24,
gene-LOC102395080,LOC102395080,NC_059171.1,-,15,
gene-LOC102395081,LOC102395081,NC_059175.1,-,19,
gene-LOC102395083,LOC102395083,NC_059181.1,+,X,
gene-LOC102395093,LOC102395093,NC_059160.1,-,4,
gene-LOC102395096,LOC102395096,NC_059171.1,+,15,
gene-LOC102395098,LOC102395098,NC_059161.1,-,5,
gene-LOC102395100,LOC102395100,NC_059170.1,-,14,
gene-LOC102395104,LOC102395104,NC_059167.1,-,11,
gene-LOC102395105,LOC102395105,NC_059160.1,+,4,
gene-LOC102395109,LOC102395109,NC_059176.1,+,20,
gene-LOC102395116,LOC102395116,NC_059172.1,-,16,
gene-LOC102395117,LOC102395117,NC_059172.1,+,16,
gene-LOC102395128,LOC102395128,NC_059160.1,+,4,
gene-LOC102395136,LOC102395136,NC_059174.1,+,18,
gene-LOC102395143,LOC102395143,NC_059157.1,+,1,
gene-LOC102395145,LOC102395145,NC_059174.1,-,18,
gene-LOC102395146,LOC102395146,NC_059157.1,+,1,
gene-LOC102395148,LOC102395148,NC_059158.1,+,2,
gene-LOC102395151,LOC102395151,NC_059158.1,-,2,
gene-LOC102395153,LOC102395153,NC_059158.1,+,2,
gene-LOC102395160,LOC102395160,NC_059179.1,-,23,
gene-LOC102395167,LOC102395167,NC_059158.1,+,2,
gene-LOC102395169,LOC102395169,NC_059157.1,-,1,
gene-LOC102395170,LOC102395170,NC_059172.1,-,16,
gene-LOC102395191,LOC102395191,NC_059174.1,+,18,
gene-LOC102395194,LOC102395194,NC_059168.1,-,12,
gene-LOC102395196,LOC102395196,NC_059160.1,+,4,
gene-LOC102395200,LOC102395200,NC_059180.1,+,24,
gene-LOC102395209,LOC102395209,NC_059172.1,+,16,
gene-LOC102395213,LOC102395213,NC_059159.1,+,3,
gene-LOC102395216,LOC102395216,NC_059172.1,+,16,
gene-LOC102395218,LOC102395218,NC_059162.1,+,6,
gene-LOC102395219,LOC102395219,NC_059181.1,-,X,
gene-LOC102395220,LOC102395220,NC_059175.1,+,19,
gene-LOC102395225,LOC102395225,NC_059161.1,+,5,
gene-LOC102395230,LOC102395230,NC_059167.1,+,11,
gene-LOC102395231,LOC102395231,NC_059168.1,+,12,
gene-LOC102395243,LOC102395243,NC_059172.1,-,16,
gene-LOC102395244,LOC102395244,NC_059172.1,+,16,
gene-LOC102395254,LOC102395254,NC_059163.1,-,7,
gene-LOC102395257,LOC102395257,NC_059180.1,+,24,
gene-LOC102395259,LOC102395259,NC_059157.1,-,1,
gene-LOC102395261,LOC102395261,NC_059174.1,-,18,
gene-LOC102395268,LOC102395268,NC_059172.1,-,16,
gene-LOC102395271,LOC102395271,NC_059162.1,-,6,
gene-LOC102395273,LOC102395273,NC_059158.1,+,2,
gene-LOC102395274,LOC102395274,NC_059167.1,-,11,
gene-LOC102395276,LOC102395276,NC_059157.1,+,1,
gene-LOC102395289,LOC102395289,NC_059159.1,-,3,
gene-LOC102395293,LOC102395293,NC_059170.1,-,14,
gene-LOC102395295,LOC102395295,NC_059168.1,-,12,
gene-LOC102395296,LOC102395296,NC_059178.1,-,22,
gene-LOC102395309,LOC102395309,NC_059161.1,+,5,
gene-LOC102395312,LOC102395312,NC_059174.1,-,18,
gene-LOC102395313,LOC102395313,NC_059168.1,+,12,
gene-LOC102395329,LOC102395329,NC_059164.1,+,8,
gene-LOC102395330,LOC102395330,NC_059161.1,-,5,
gene-LOC102395334,LOC102395334,NC_059161.1,+,5,
gene-LOC102395335,LOC102395335,NC_059159.1,+,3,
gene-LOC102395337,LOC102395337,NC_059171.1,-,15,
gene-LOC102395341,LOC102395341,NC_059164.1,+,8,
gene-LOC102395342,LOC102395342,NC_059160.1,-,4,
gene-LOC102395347,LOC102395347,NC_059172.1,-,16,
gene-LOC102395348,LOC102395348,NC_059180.1,-,24,
gene-LOC102395352,LOC102395352,NC_059165.1,-,9,
gene-LOC102395353,LOC102395353,NC_059158.1,+,2,
gene-LOC102395359,LOC102395359,NC_059181.1,-,X,
gene-LOC102395360,LOC102395360,NC_059174.1,-,18,
gene-LOC102395361,LOC102395361,NC_059166.1,+,10,
gene-LOC102395383,LOC102395383,NC_059180.1,-,24,
gene-LOC102395384,LOC102395384,NC_059162.1,+,6,
gene-LOC102395390,LOC102395390,NC_059181.1,-,X,
gene-LOC102395397,LOC102395397,NC_059171.1,-,15,
gene-LOC102395400,LOC102395400,NC_059160.1,+,4,
gene-LOC102395404,LOC102395404,NC_059163.1,-,7,
gene-LOC102395408,LOC102395408,NC_059170.1,-,14,
gene-LOC102395410,LOC102395410,NC_059181.1,-,X,
gene-LOC102395415,LOC102395415,NC_059169.1,-,13,
gene-LOC102395423,LOC102395423,NC_059176.1,-,20,
gene-LOC102395425,LOC102395425,NC_059159.1,+,3,
gene-LOC102395426,LOC102395426,NC_059176.1,-,20,
gene-LOC102395427,LOC102395427,NC_059163.1,+,7,
gene-LOC102395430,LOC102395430,NC_059181.1,+,X,
gene-LOC102395432,LOC102395432,NC_059172.1,-,16,
gene-LOC102395433,LOC102395433,NC_059172.1,-,16,
gene-LOC102395436,LOC102395436,NC_059157.1,+,1,
gene-LOC102395438,LOC102395438,NC_059161.1,-,5,
gene-LOC102395439,LOC102395439,NC_059181.1,-,X,
gene-LOC102395442,LOC102395442,NC_059166.1,+,10,
gene-LOC102395443,LOC102395443,NC_059174.1,+,18,
gene-LOC102395456,LOC102395456,NC_059174.1,+,18,
gene-LOC102395458,LOC102395458,NC_059159.1,-,3,
gene-LOC102395459,LOC102395459,NC_059169.1,-,13,
gene-LOC102395460,LOC102395460,NC_059160.1,-,4,
gene-LOC102395465,LOC102395465,NC_059168.1,-,12,
gene-LOC102395467,LOC102395467,NC_059174.1,-,18,
gene-LOC102395476,LOC102395476,NC_059174.1,+,18,
gene-LOC102395477,LOC102395477,NC_059158.1,+,2,
gene-LOC102395479,LOC102395479,NC_059162.1,-,6,
gene-LOC102395481,LOC102395481,NC_059165.1,+,9,
gene-LOC102395487,LOC102395487,NC_059157.1,+,1,
gene-LOC102395491,LOC102395491,NC_059170.1,-,14,
gene-LOC102395492,LOC102395492,NC_059164.1,+,8,
gene-LOC102395493,LOC102395493,NC_059158.1,+,2,
gene-LOC102395499,LOC102395499,NC_059173.1,-,17,
gene-LOC102395503,LOC102395503,NC_059172.1,+,16,
gene-LOC102395504,LOC102395504,NC_059172.1,+,16,
gene-LOC102395505,LOC102395505,NC_059164.1,-,8,
gene-LOC102395508,LOC102395508,NC_059157.1,-,1,
gene-LOC102395512,LOC102395512,NC_059166.1,-,10,
gene-LOC102395513,LOC102395513,NC_059160.1,-,4,
gene-LOC102395514,LOC102395514,NC_059161.1,-,5,
gene-LOC102395515,LOC102395515,NC_059172.1,-,16,
gene-LOC102395519,LOC102395519,NC_059174.1,-,18,
gene-LOC102395523,LOC102395523,NC_059158.1,-,2,
gene-LOC102395524,LOC102395524,NC_059165.1,-,9,
gene-LOC102395529,LOC102395529,NC_059180.1,+,24,
gene-LOC102395532,LOC102395532,NC_059161.1,+,5,
gene-LOC102395535,LOC102395535,NC_059157.1,+,1,
gene-LOC102395544,LOC102395544,NC_059172.1,-,16,
gene-LOC102395546,LOC102395546,NC_059162.1,+,6,
gene-LOC102395547,LOC102395547,NC_059159.1,-,3,
gene-LOC102395554,LOC102395554,NC_059162.1,-,6,
gene-LOC102395555,LOC102395555,NC_059158.1,+,2,
gene-LOC102395556,LOC102395556,NC_059169.1,+,13,
gene-LOC102395562,LOC102395562,NC_059159.1,-,3,
gene-LOC102395563,LOC102395563,NC_059181.1,-,X,
gene-LOC102395579,LOC102395579,NC_059172.1,-,16,
gene-LOC102395589,LOC102395589,NC_059163.1,+,7,
gene-LOC102395590,LOC102395590,NC_059159.1,-,3,
gene-LOC102395596,LOC102395596,NC_059157.1,+,1,
gene-LOC102395607,LOC102395607,NC_059161.1,+,5,
gene-LOC102395608,LOC102395608,NC_059172.1,+,16,
gene-LOC102395615,LOC102395615,NC_059167.1,-,11,
gene-LOC102395616,LOC102395616,NC_059165.1,-,9,
gene-LOC102395625,LOC102395625,NC_059162.1,+,6,
gene-LOC102395630,LOC102395630,NC_059159.1,+,3,
gene-LOC102395631,LOC102395631,NC_059162.1,-,6,
gene-LOC102395632,LOC102395632,NC_059162.1,+,6,
gene-LOC102395633,LOC102395633,NC_059168.1,+,12,
gene-LOC102395635,LOC102395635,NC_059170.1,-,14,
gene-LOC102395637,LOC102395637,NC_059180.1,+,24,
gene-LOC102395641,LOC102395641,NC_059165.1,-,9,
gene-LOC102395645,LOC102395645,NC_059163.1,+,7,
gene-LOC102395663,LOC102395663,NC_059159.1,-,3,
gene-LOC102395666,LOC102395666,NC_059174.1,+,18,
gene-LOC102395671,LOC102395671,NC_059159.1,-,3,
gene-LOC102395673,LOC102395673,NC_059159.1,+,3,
gene-LOC102395683,LOC102395683,NC_059172.1,-,16,
